experiment	overall_score	category_scores	status	description
2026-03-11_155353	0.050000	absence_detection=0.2500,attention_dilution=0.0000,compound=0.0000,deep_chain=0.0000,strong_signal_inhibition=0.0000,temporal_ambiguity=0.0000	keep	baseline default prompt
2026-03-11_155516	0.350000	absence_detection=0.0000,attention_dilution=0.0000,compound=1.0000,deep_chain=0.0000,strong_signal_inhibition=0.7500,temporal_ambiguity=0.0000	keep	priority decision framework, no-lookup directive
2026-03-11_155621	0.250000	absence_detection=0.0000,attention_dilution=0.0000,compound=0.5000,deep_chain=0.0000,strong_signal_inhibition=0.7500,temporal_ambiguity=0.0000	discard	single-tool, no_action for declines, Brazil!=EU
2026-03-11_155731	0.250000	absence_detection=0.0000,attention_dilution=0.0000,compound=0.5000,deep_chain=1.0000,strong_signal_inhibition=0.2500,temporal_ambiguity=0.0000	discard	wire-before-refund ordering, explicit no_action for trial
2026-03-11_155847	0.500000	absence_detection=0.0000,attention_dilution=0.0000,compound=1.0000,deep_chain=1.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.0000	keep	wire-before-refund, partner-escalation, compute-yourself
2026-03-11_160002	0.500000	absence_detection=0.2500,attention_dilution=0.0000,compound=0.0000,deep_chain=1.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.7500	keep	act-immediately, no confirmation, always tool-call
2026-03-11_160119	0.550000	absence_detection=0.2500,attention_dilution=0.0000,compound=0.5000,deep_chain=1.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.5000	keep	tool-calls-always, don't-ask-to-verify, out-of-scope
2026-03-11_160224	0.525000	absence_detection=0.2500,attention_dilution=0.0000,compound=1.0000,deep_chain=0.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.3750	discard	tool-calling-agent identity, stronger no-lookup
2026-03-11_162034	0.425000	absence_detection=0.2500,attention_dilution=0.0000,compound=0.5000,deep_chain=0.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.3750	discard	tool-router identity reframe, disabled lookups, multi-topic focus
2026-03-11_162206	0.250000	absence_detection=0.2500,attention_dilution=0.0000,compound=0.0000,deep_chain=0.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.0000	discard	contrastive self-check before tool call, act-immediately, multi-topic focus
2026-03-11_162342	0.600000	absence_detection=0.2500,attention_dilution=0.0000,compound=0.5000,deep_chain=1.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.7500	keep	NEVER+compute hybrid, think-then-act inner monologue
2026-03-11_162502	0.625000	absence_detection=0.2500,attention_dilution=0.0000,compound=1.0000,deep_chain=1.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.3750	keep	015 + one-action-only to recover TC-7 Enterprise escalation
2026-03-11_162634	0.675000	absence_detection=0.2500,attention_dilution=1.0000,compound=1.0000,deep_chain=1.0000,strong_signal_inhibition=0.7500,temporal_ambiguity=0.3750	keep	narrow sales-promise to named-rep or beyond-policy
2026-03-11_162753	0.525000	absence_detection=0.2500,attention_dilution=0.0000,compound=0.5000,deep_chain=1.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.3750	discard	narrow rule 3 to named-rep, restore partner hint
2026-03-11_163836	0.800000	absence_detection=0.2500,attention_dilution=1.0000,compound=1.0000,deep_chain=1.0000,strong_signal_inhibition=1.0000,temporal_ambiguity=0.7500	keep	named-rep trigger, partner hint, escalate-not-verify
